Name,Author,User rating,Reviews,Price,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,8,17350,8,2016,Non Fiction
11/22/63 A Novel,Stephen King,7,2052,22,2011,Fiction
12 Rules for Life An Antidote to Chaos,Jordan B. Peterson,8,18979,15,2018,Non Fiction
1984 (Signet Classics),George Orwell,8,21424,6,2017,Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,9,7665,12,2019,Non Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,5,12643,11,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,8,19735,30,2014,Fiction
A Gentleman in Moscow A Novel,Amor Towles,8,19699,15,2017,Fiction
"A Higher Loyalty Truth, Lies, and Leadership",James Comey,8,5983,3,2018,Non Fiction
A Man Called Ove A Novel,Fredrik Backman,7,23848,8,2016,Fiction
A Man Called Ove A Novel,Fredrik Backman,7,23848,8,2017,Fiction
A Patriot's History of the United States From Columbus's Great Discovery to the War on Terror,Larry Schweikart,7,460,2,2010,Non Fiction
A Stolen Life A Memoir,Jaycee Dugard,7,4149,32,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,6,5153,5,2018,Fiction
"Act Like a Lady, Think Like a Man What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,7,5013,17,2009,Non Fiction
"Adult Coloring Book Designs Stress Relief Coloring Book Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,6,2313,4,2016,Non Fiction
Adult Coloring Book Stress Relieving Animal Designs,Blue Star Coloring,7,2925,6,2015,Non Fiction
Adult Coloring Book Stress Relieving Patterns,Blue Star Coloring,5,2951,6,2015,Non Fiction
"Adult Coloring Books A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley",Coloring Books for Adults,6,2426,8,2015,Non Fiction
Alexander Hamilton,Ron Chernow,9,9198,13,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,7,36348,14,2014,Fiction
All the Light We Cannot See,Anthony Doerr,7,36348,14,2015,Fiction
Allegiant,Veronica Roth,10,6310,13,2013,Fiction
